Rok,Kandidátnílistina,Kandidátnílistina.1,Poř.číslo,Kandidát,Kandidát.1,Věk,Navrh.strana,Polit.přísl.,Hlasy,Hlasy.1,Pořadí,Mandát
Rok,Kandidátnílistina,Kandidátnílistina,Poř.číslo,"Příjmení, jméno",Tituly,Věk,Navrh.strana,Polit.přísl.,abs.,v %,Pořadí,Mandát
2014,6,Občanská demokratická strana,33,Rudišová Jana,,60,ODS,ODS,2 169,2.19,21,
2014,7,Komunistická str.Čech a Moravy,30,Rudolfová Hana,,84,KSČM,KSČM,822,2.66,27,
2014,8,Otevřená radnice,33,Rybníček Aleš,,42,Hora 2014,BEZPP,98,2.05,,
2014,1,"TOP 09 - lidi, které znáte",21,Řehák Jiří,,44,TOP 09,TOP 09,831,2.54,18,
2014,3,Nezávislí Pro Mladou Boleslav,3,Řezáč Jiří,,60,NK,BEZPP,186,3.53,,
2014,3,Nezávislí Pro Mladou Boleslav,23,Salayová Renáta,,22,NK,BEZPP,128,2.43,,
2014,1,"TOP 09 - lidi, které znáte",23,Sedláček Jan,Ing.,62,NK,BEZPP,896,2.74,20,
2014,4,ANO 2011 + Volba pro MB,30,Sedláček Václav,,51,VpMB,BEZPP,1 871,2.53,22,
2014,4,ANO 2011 + Volba pro MB,7,Servus Petr,,36,ANO,ANO,2 247,3.04,8,*
2014,11,Česká str.sociálně demokrat.,3,Sezemský Přemysl,,51,ČSSD,ČSSD,2 077,3.16,6,*
2014,3,Nezávislí Pro Mladou Boleslav,11,Scheithauerová Jana,,34,NK,BEZPP,151,2.87,,
2014,10,Mladoboleslavské hnutí nezáv.,29,Siřínek Jakub,,22,MBN,MBN,224,2.58,,
2014,10,Mladoboleslavské hnutí nezáv.,2,Siřínek Přemysl,Mgr.,52,MBN,MBN,585,6.74,,
2014,7,Komunistická str.Čech a Moravy,1,Skála Karel,,72,KSČM,KSČM,1 299,4.21,2,*
2014,2,Křesť.demokr.unie-Čs.str.lid.,25,Slabý Tomáš,,25,KDU-ČSL,BEZPP,410,3.11,,
2014,1,"TOP 09 - lidi, které znáte",4,Smutný Jan,Mgr.,54,TOP 09,TOP 09,1 503,4.60,1,
2014,2,Křesť.demokr.unie-Čs.str.lid.,9,Soukupová Veronika,Ing.,42,KDU-ČSL,BEZPP,392,2.97,,
2014,2,Křesť.demokr.unie-Čs.str.lid.,28,Staněk František,,70,KDU-ČSL,BEZPP,414,3.14,,
2014,4,ANO 2011 + Volba pro MB,5,Starý Jakub,Ing.,29,ANO,ANO,2 359,3.19,7,*
2014,5,Strana zelených,18,Steklá Kateřina,Bc.,38,Zelení,BEZPP,427,2.46,,
2014,8,Otevřená radnice,17,Suhánek Aleš,,40,Hora 2014,BEZPP,98,2.05,,
2014,9,Strana svobodných občanů,15,Suchánek Petr,Ing.,33,Svobodní,BEZPP,223,3.02,,
2014,7,Komunistická str.Čech a Moravy,8,Suchý Tomáš,Ing.,46,KSČM,BEZPP,1 178,3.82,3,*
2014,11,Česká str.sociálně demokrat.,7,Svoboda Jiří,,47,ČSSD,ČSSD,2 041,3.10,3,
2014,7,Komunistická str.Čech a Moravy,19,Syrový Milan,,60,KSČM,KSČM,919,2.98,16,
2014,7,Komunistická str.Čech a Moravy,18,Šašek Jiří,,50,KSČM,BEZPP,900,2.92,15,
2014,1,"TOP 09 - lidi, které znáte",7,Šebek Jaroslav,,59,NK,BEZPP,1 247,3.82,2,
2014,7,Komunistická str.Čech a Moravy,7,Šedo Jozef,,40,KSČM,KSČM,940,3.05,5,
2014,5,Strana zelených,28,Ševců Libor,Mgr.,43,Zelení,BEZPP,415,2.39,,
2014,4,ANO 2011 + Volba pro MB,19,Ševela Libor,,41,ANO,BEZPP,2 130,2.88,11,
2014,7,Komunistická str.Čech a Moravy,13,Šíma Jindřich,,58,KSČM,KSČM,905,2.93,10,
2014,11,Česká str.sociálně demokrat.,28,Šimánek Ladislav,,33,ČSSD,BEZPP,1 826,2.77,21,
2014,2,Křesť.demokr.unie-Čs.str.lid.,4,Šindelková Yvona,Mgr.,66,KDU-ČSL,BEZPP,635,4.82,,
2014,7,Komunistická str.Čech a Moravy,3,Šlégl Oldřich,MUDr.,66,KSČM,BEZPP,1 325,4.29,1,*
2014,4,ANO 2011 + Volba pro MB,32,Špalek Miroslav,PaedDr.,55,ANO,BEZPP,1 683,2.28,24,
2014,11,Česká str.sociálně demokrat.,22,Šťastný Martin,Ing. Ph.D.,38,ČSSD,ČSSD,1 911,2.90,15,
2014,2,Křesť.demokr.unie-Čs.str.lid.,17,Štěpánek Jiří,,43,KDU-ČSL,BEZPP,349,2.65,,
2014,10,Mladoboleslavské hnutí nezáv.,16,Šturma Hynek,,20,MBN,BEZPP,240,2.76,,
2014,10,Mladoboleslavské hnutí nezáv.,1,Šubr Filip,Bc.,31,MBN,MBN,562,6.48,,
2014,5,Strana zelených,15,Šubr Jiří,DiS.,37,Zelení,BEZPP,483,2.78,,
2014,10,Mladoboleslavské hnutí nezáv.,27,Šustr Josef,,68,MBN,BEZPP,193,2.22,,
2014,4,ANO 2011 + Volba pro MB,23,Švásta Karel,,63,ANO,BEZPP,2 100,2.84,15,
2014,9,Strana svobodných občanů,9,Švehla Miroslav,Ing.,56,Svobodní,BEZPP,214,2.89,,
2014,1,"TOP 09 - lidi, které znáte",30,Tišer Přemysl,Bc.,35,TOP 09,TOP 09,697,2.13,27,
2014,7,Komunistická str.Čech a Moravy,25,Tomík Stanislav,,63,KSČM,KSČM,871,2.82,22,
2014,8,Otevřená radnice,25,Tondr Lukáš,,25,Hora 2014,BEZPP,119,2.49,,
2014,2,Křesť.demokr.unie-Čs.str.lid.,11,Toužimský Petr,,51,KDU-ČSL,BEZPP,409,3.10,,
2014,8,Otevřená radnice,31,Toužimský Zdeněk,,49,Hora 2014,BEZPP,94,1.96,,
2014,6,Občanská demokratická strana,15,Tůma Zdeněk,Bc.,52,ODS,ODS,2 984,3.01,3,
2014,3,Nezávislí Pro Mladou Boleslav,7,Umlaufová Jitka,Ing.,42,NK,BEZPP,281,5.34,,
2014,8,Otevřená radnice,5,Váchová Eva,,41,Hora 2014,BEZPP,139,2.90,,
2014,1,"TOP 09 - lidi, které znáte",27,Valeš Jiří,,57,NK,BEZPP,756,2.31,24,
2014,11,Česká str.sociálně demokrat.,33,Vaněk František,,68,ČSSD,ČSSD,1 555,2.36,26,
2014,1,"TOP 09 - lidi, které znáte",13,Vaníček Milan,,51,TOP 09,TOP 09,920,2.82,11,
2014,2,Křesť.demokr.unie-Čs.str.lid.,2,Vedral Jaroslav,MUDr.,62,KDU-ČSL,BEZPP,1 052,7.99,,
2014,11,Česká str.sociálně demokrat.,15,Ventová Nebeská Josefína,Mgr.,31,ČSSD,ČSSD,1 958,2.97,8,
2014,10,Mladoboleslavské hnutí nezáv.,13,Verner Jiří,,40,MBN,BEZPP,235,2.71,,
2014,6,Občanská demokratická strana,5,Veškrnová Zdeňka,,61,ODS,ODS,3 080,3.10,7,*
2014,10,Mladoboleslavské hnutí nezáv.,18,Viglášová Aneta,,27,MBN,BEZPP,212,2.44,,
2014,3,Nezávislí Pro Mladou Boleslav,5,Vít Petr,,32,NK,BEZPP,172,3.27,,
2014,8,Otevřená radnice,26,Viták Aleš,,28,Hora 2014,BEZPP,96,2.00,,
2014,6,Občanská demokratická strana,20,Volf Vlastimil,,62,ODS,BEZPP,3 118,3.14,8,
2014,9,Strana svobodných občanů,28,Voplakalová Sabina,,20,Svobodní,BEZPP,209,2.83,,
2014,5,Strana zelených,16,Vošvrda Sebastian,,18,Zelení,BEZPP,522,3.01,,
2014,1,"TOP 09 - lidi, které znáte",32,Vrabec Jiří,Bc.,43,TOP 09,TOP 09,590,1.80,29,
2014,1,"TOP 09 - lidi, které znáte",15,Vrbata David,,31,NK,BEZPP,1 166,3.57,4,
2014,5,Strana zelených,7,Vrbová Milada,,41,Zelení,BEZPP,571,3.29,,
2014,11,Česká str.sociálně demokrat.,13,Vrchlavský Zdeněk,,50,ČSSD,ČSSD,2 055,3.12,6,
2014,10,Mladoboleslavské hnutí nezáv.,12,Výborný Martin,,38,MBN,BEZPP,317,3.65,,
2014,6,Občanská demokratická strana,12,Vyskočil Vladimír,,38,ODS,ODS,3 044,3.07,12,*
2014,8,Otevřená radnice,28,Wolf David,,29,Hora 2014,BEZPP,98,2.05,,
2014,8,Otevřená radnice,11,Zábranská Dana,Mgr.,41,Hora 2014,BEZPP,260,5.44,,
2014,11,Česká str.sociálně demokrat.,31,Zahrada Ludovít,,73,ČSSD,ČSSD,1 701,2.58,24,
2014,10,Mladoboleslavské hnutí nezáv.,17,Zajíc Jan,Bc.,26,MBN,BEZPP,186,2.14,,
2014,10,Mladoboleslavské hnutí nezáv.,9,Zajíček Jan,,25,MBN,MBN,207,2.38,,
2014,7,Komunistická str.Čech a Moravy,17,Zajíček Ladislav,,69,KSČM,KSČM,896,2.90,14,
2014,1,"TOP 09 - lidi, které znáte",25,Zajíček Tomáš,,21,TOP 09,TOP 09,788,2.41,22,
2014,9,Strana svobodných občanů,5,Zajíček Zdeněk,,26,Svobodní,Svobodní,225,3.04,,
2014,7,Komunistická str.Čech a Moravy,12,Zajíčková Naděžda,,51,KSČM,KSČM,932,3.02,9,
